Tmx Prolateness Oblateness Size tr Tb
30 1.44 1 190 9.99999999999999E+017 256
30 1.44 1 200 9.99999999999999E+017 264
30 1.44 1 220 9.99999999999999E+017 275
30 1.44 1 230 9.99999999999999E+017 277
30 1.44 1 240 9.99999999999999E+017 282
45 1.44 1 40 0.952441860829626 20
45 1.44 1 50 408934763.69576 111
45 1.44 1 60 9.99999999999999E+017 203
45 1.44 1 70 9.99999999999999E+017 238
45 1.44 1 80 9.99999999999999E+017 257
45 1.44 1 90 9.99999999999999E+017 268
45 1.44 1 100 9.99999999999999E+017 274
45 1.44 1 110 9.99999999999999E+017 278
45 1.44 1 120 9.99999999999999E+017 281
45 1.44 1 130 9.99999999999999E+017 283
45 1.44 1 140 9.99999999999999E+017 284
45 1.44 1 160 9.99999999999999E+017 285
45 1.44 1 170 9.99999999999999E+017 285
45 1.44 1 180 9.99999999999999E+017 283
45 1.44 1 190 9.99999999999999E+017 282
45 1.44 1 200 9.99999999999999E+017 176
45 1.44 1 210 9.99999999999999E+017 185
45 1.44 1 220 9.99999999999999E+017 191
45 1.44 1 230 9.99999999999999E+017 195
45 1.44 1 240 9.99999999999999E+017 200
60 1.44 1 60 9.99999999999999E+017 79
60 1.44 1 70 9.99999999999999E+017 113
60 1.44 1 80 9.99999999999999E+017 130
60 1.44 1 90 9.99999999999999E+017 142
60 1.44 1 100 9.99999999999999E+017 149
60 1.44 1 110 9.99999999999999E+017 153
60 1.44 1 120 9.99999999999999E+017 155
60 1.44 1 130 9.99999999999999E+017 158
60 1.44 1 140 9.99999999999999E+017 159
60 1.44 1 150 9.99999999999999E+017 160
60 1.44 1 160 9.99999999999999E+017 161
60 1.44 1 200 9.99999999999999E+017 162
60 1.44 1 210 9.99999999999999E+017 130
60 1.44 1 220 9.99999999999999E+017 162
60 1.44 1 230 9.99999999999999E+017 163
60 1.44 1 240 9.99999999999999E+017 160
0 1 1 40 1.6227267533779E-05 20
0 1 1 50 0.109038584631407 20
0 1 1 60 134856.006301981 46
0 1 1 70 24663936584242.9 94
0 1 1 80 12909462925.8184 80
0 1 1 90 875664.01687667 58
0 1 1 100 2.57489724407296E-06 20
0 1 1 110 0.0653382795988756 20
0 1 1 120 1795369.47450578 57
0 1 1 130 1.50034610982691E+015 110
0 1 1 140 9.99999999999999E+017 142
0 1 1 150 9.99999999999999E+017 169
0 1 1 160 9.99999999999999E+017 195
0 1 1 170 9.99999999999999E+017 213
0 1 1 180 9.99999999999999E+017 232
0 1 1 190 9.99999999999999E+017 250
0 1 1 200 9.99999999999999E+017 266
0 1 1 210 9.99999999999999E+017 273
0 1 1 220 9.99999999999999E+017 289
0 1 1 230 9.99999999999999E+017 300
0 1 1 240 9.99999999999999E+017 308
5 1 1 40 0.000159003135012204 20
5 1 1 50 13.8625802253587 20
5 1 1 60 358681747.052183 71
5 1 1 70 9.99999999999999E+017 120
5 1 1 80 1.87260307377121E+017 91
5 1 1 90 9.99999999999999E+017 146
5 1 1 100 162477419.767147 77
5 1 1 110 6.83859968882472E-05 20
5 1 1 120 111546365.018087 65
5 1 1 130 9.99999999999999E+017 128
5 1 1 140 9.99999999999999E+017 164
5 1 1 150 9.99999999999999E+017 192
5 1 1 160 9.99999999999999E+017 216
5 1 1 170 9.99999999999999E+017 235
5 1 1 180 9.99999999999999E+017 252
5 1 1 190 9.99999999999999E+017 268
5 1 1 200 9.99999999999999E+017 282
5 1 1 210 9.99999999999999E+017 289
5 1 1 220 9.99999999999999E+017 302
5 1 1 230 9.99999999999999E+017 312
5 1 1 240 9.99999999999999E+017 320
10 1 1 40 0.000722390436362288 20
10 1 1 50 246.888302079936 24
10 1 1 60 52114192419.6651 84
