TMx,alignment,PRO,OBL,size,Mx,My,Mz,step type,temperature,check temperature
30,hard,1.44,1.0,80,-8.28295886055126e-33,-1.766611198816093e-33,-2.1173066318232257e-32,Z,579,579
30,hard,1.44,1.0,80,1.3117978011974703e-30,8.08851770887103e-28,-5.129869157733828e-30,P,540,579
30,hard,1.44,1.0,80,3.889689723326435e-20,1.2133271420193227e-16,-8.187125261010377e-19,I,579,579
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,20,20
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,100,100
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,100,100
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,200,200
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,200,200
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,300,300
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,P,100,300
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,300,300
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,350,350
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,350,350
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,400,400
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,P,300,400
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,400,400
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,425,425
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,425,425
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,450,450
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,P,400,450
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,450,450
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,475,475
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,475,475
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,500,500
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,P,450,500
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,500,500
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,I,520,520
30,hard,1.44,1.0,90,7.578135506645747e-17,-2.191143284544586e-19,2.0617739861119524e-19,Z,520,520
30,hard,1.44,1.0,90,7.578135506630737e-17,-2.1911432845396334e-19,2.0617739861077558e-19,Z,540,540
30,hard,1.44,1.0,90,7.578135506630737e-17,-2.1911432845396334e-19,2.0617739861077558e-19,P,500,540
30,hard,1.44,1.0,90,7.578135506615851e-17,-2.1911432772483376e-19,2.0617739860593996e-19,I,540,540
30,hard,1.44,1.0,90,7.572042959049785e-17,-9.867788665664214e-21,2.045940842233885e-19,I,560,560
30,hard,1.44,1.0,90,7.56611497008329e-17,-9.860063387032669e-21,2.0443391193188017e-19,Z,560,560
30,hard,1.44,1.0,90,-1.035167294623524e-32,-2.20783196695531e-33,-2.646115494296956e-32,Z,579,579
30,hard,1.44,1.0,90,3.1878968728114935e-30,7.286981989647629e-28,-4.3734134347545496e-30,P,540,579
30,hard,1.44,1.0,90,1.8092926436594855e-18,6.421923362601237e-17,-5.352298215893793e-19,I,579,579
30,hard,1.44,1.0,100,4.2739785409816923e-16,1.4411462855934373e-19,2.4319686346085846e-18,Z,20,20
30,hard,1.44,1.0,100,4.2739785409816923e-16,1.4411462855934373e-19,2.4319686346085846e-18,Z,100,100
30,hard,1.44,1.0,100,4.2739785409816923e-16,1.4411462855934373e-19,2.4319686346085846e-18,I,100,100
30,hard,1.44,1.0,100,4.2739785409816923e-16,1.4411462855934373e-19,2.4319686346085846e-18,I,200,200
30,hard,1.44,1.0,100,4.2739785409816923e-16,1.4411462855934373e-19,2.4319686346085846e-18,Z,200,200
30,hard,1.44,1.0,100,4.2739785409816923e-16,1.4411462855934373e-19,2.4319686346085846e-18,Z,300,300
30,hard,1.44,1.0,100,4.2739785409816923e-16,1.4411462855934373e-19,2.4319686346085846e-18,P,100,300
30,hard,1.44,1.0,100,4.2739785409816923e-16,1.4411462855934373e-19,2.4319686346085846e-18,I,300,300
30,hard,1.44,1.0,100,4.2739785409816913e-16,1.4411462855958255e-19,2.4319686346085415e-18,I,350,350
30,hard,1.44,1.0,100,4.2739785409816913e-16,1.4411462855958255e-19,2.4319686346085415e-18,Z,350,350
30,hard,1.44,1.0,100,4.273978540981681e-16,1.4411462855955635e-19,2.431968634608426e-18,Z,400,400
30,hard,1.44,1.0,100,4.273978540981681e-16,1.4411462855955635e-19,2.431968634608426e-18,P,300,400
30,hard,1.44,1.0,100,4.2739785409816686e-16,1.4411462856292923e-19,2.4319686346084144e-18,I,400,400
30,hard,1.44,1.0,100,4.273978540981623e-16,1.441146285745397e-19,2.431968634608268e-18,I,425,425
30,hard,1.44,1.0,100,4.273978540981578e-16,1.4411462857455164e-19,2.4319686346082418e-18,Z,425,425
30,hard,1.44,1.0,100,4.273978540981404e-16,1.441146285745786e-19,2.4319686346081987e-18,Z,450,450
30,hard,1.44,1.0,100,4.2739785409813925e-16,1.4411462857790276e-19,2.4319686346082125e-18,P,400,450
30,hard,1.44,1.0,100,4.273978540981209e-16,1.4411462862127586e-19,2.4319686346078304e-18,I,450,450
